student;sex;highgpa;gpa1;gpa2;gpa3;gpa4;gpa5;gpa6;job1;job2;job3;job4;job5;job6;admitted
1;1;2,8;2,3;2,1;3;3;3;3,3;2;2;2;2;2;2;1
2;0;2,5;2,2;2,5;2,6;2,6;3;2,8;2;3;2;2;2;2;0
3;1;2,5;2,4;2,9;3;2,8;3,3;3,4;2;2;2;3;2;2;1
4;0;3,8;2,5;2,7;2,4;2,7;2,9;2,7;3;2;2;2;2;2;0
5;0;3,1;2,8;2,8;2,8;3;2,9;3,1;2;2;2;2;2;2;1
6;1;2,9;2,5;2,4;2,4;2,3;2,7;2,8;2;3;3;2;3;3;0
7;0;2,3;2,4;2,4;2,8;2,6;3;3;3;2;3;2;2;2;1
8;1;3,9;2,8;2,8;3,1;3,3;3,3;3,4;2;2;2;2;2;2;1
9;0;2;2,8;2,7;2,7;3,1;3,1;3,5;2;2;3;2;2;2;9
10;0;2,8;2,8;2,8;3;2,7;3;3;2;2;2;3;2;2;1
11;1;3,9;2,6;2,9;3,2;3,6;3,6;3,8;2;3;2;2;2;2;9
12;1;2,9;2,6;3;2,3;2,9;3,1;3,3;3;2;2;2;2;2;1
13;0;3,7;2,8;3,1;3,5;3,6;3,9;3,9;2;2;2;2;2;2;9
14;1;3,5;2,4;3;2,9;3;3,3;3,4;2;2;2;2;2;2;1
15;0;3,6;2,2;2,7;2,6;2,6;2,8;2,8;2;2;3;3;3;2;0
16;1;2,9;2,5;2,7;2,8;2,7;2,8;2,8;2;2;2;2;2;2;0
17;0;2,4;2,6;2,2;2,6;2,5;2,6;2,8;2;2;2;3;3;2;1
18;0;2,5;2,4;2,9;2;2,6;2,5;2,7;3;2;2;2;2;3;0
19;1;2,3;2,5;2,3;3;2,9;2,9;2,9;2;2;2;3;2;3;0
20;0;3,4;2,8;2,9;3,2;3,2;3,4;3,3;2;2;2;2;2;2;9
21;1;2,8;2,6;2,4;2,5;2,5;2,5;2,6;2;2;2;2;2;2;0
22;0;3,6;2,8;2,7;3,1;3,1;3;3,3;2;2;2;2;2;1;9
23;0;2,4;2,8;3,2;2,8;3;2,9;3;2;2;2;2;3;2;1
24;1;3,9;2,7;2,9;3;2,7;2,9;3;2;3;2;2;3;2;0
25;1;3,7;3,5;3,1;3;3,3;3,4;3,6;2;2;2;2;2;2;9
26;0;3;2,3;2,8;2,1;2,8;2,8;2,5;2;2;2;2;3;2;0
27;0;3,3;2,2;2,4;2,5;2,2;2,8;2,5;2;2;2;3;3;3;0
28;1;3,5;2,6;3,1;2,9;3,1;3,1;3,2;2;2;2;2;1;2;1
29;1;3,3;2,9;2,7;2,9;2,9;3,3;3,2;2;2;2;3;2;2;9
30;1;2,4;2,9;3;3,2;3,1;3,2;3,3;2;2;1;2;1;2;1
31;1;2;2,6;2,2;2,1;2,4;2,6;2,8;2;2;3;3;3;2;0
32;1;3,5;2,8;2,9;3;3,3;3,4;3,6;2;2;2;2;2;2;9
33;1;3,2;2,3;3;2,4;2,8;2,8;3;2;2;2;2;3;2;0
34;0;3,9;2,4;2,8;2,6;2,7;2,6;2,6;2;2;2;2;2;2;0
35;0;3,5;2,5;2,5;2,6;3,2;3,4;3,6;2;2;2;2;2;2;9
36;0;2,9;2,5;2,9;3;3,2;3;3,5;2;2;2;2;2;1;9
37;0;3;2,2;2,5;3,3;3,1;3,3;3,4;3;2;2;2;2;2;9
38;1;2,9;2,9;3,2;3,2;3,4;3,6;3,8;2;2;2;2;2;2;9
39;0;3,5;2,4;2,3;3;3,1;3,1;2,9;2;2;2;2;2;3;0
40;1;3,1;2,5;2,9;3,2;3,6;3,3;3,6;2;2;2;2;2;2;9
41;1;3,3;2,9;3,5;3,2;3,5;3,8;3,9;2;2;1;2;1;1;9
42;0;3,9;2,5;2,5;3,4;2,6;2,8;3;2;2;1;2;2;2;0
43;1;2,3;2;2,5;3,1;3,3;3,2;3,6;2;2;2;2;2;2;1
44;1;3,5;3,1;3;3,1;2,9;3,1;3,2;2;2;2;2;2;2;9
45;1;2,4;2,7;3,1;3;3,3;3,1;3,2;2;2;2;2;2;2;0
46;0;2,1;2,9;2,2;2,7;2,4;2,6;2,4;2;2;2;3;2;2;0
47;1;2,8;2,6;2,5;2,8;2,2;2,8;2,7;2;2;2;2;3;3;1
48;1;2,6;2,9;2,5;2,7;2,9;3;3,2;2;2;3;2;2;2;0
49;0;2,8;3,1;2,7;3;2,7;3;3,4;2;3;2;2;2;2;1
50;0;3,8;2,4;2,7;2,4;3,2;3;3;2;2;2;2;2;2;1
51;0;2,1;1,7;2,5;3,3;3,2;3;3,3;3;2;2;2;2;1;0
